area_type,availability,location,total_sqft,bath,balcony,price,bhk,price_per_sqft,high_value,cluster
Plot  Area,Ready To Move,TC Palaya,1200.0,2.0,0.0,66.0,2,5500.0,0,2
Super built-up  Area,19-Dec,9th Phase JP Nagar,1127.0,2.0,1.0,50.0,2,4436.557231588287,0,2
Built-up  Area,Ready To Move,Indira Nagar,1210.0,2.0,1.0,102.0,2,8429.752066115703,1,0
Super built-up  Area,Ready To Move,Thigalarapalya,4190.0,4.0,3.0,380.0,4,9069.212410501194,1,3
Super built-up  Area,Ready To Move,Whitefield,2268.0,3.0,0.0,146.0,4,6437.389770723104,1,0
Super built-up  Area,Ready To Move,other,1150.0,2.0,2.0,77.5,3,6739.130434782609,0,0
Built-up  Area,Ready To Move,Magadi Road,1345.0,2.0,2.0,55.0,2,4089.2193308550186,0,2
Built-up  Area,Ready To Move,Kengeri,750.0,2.0,1.0,36.0,2,4800.0,0,2
Super built-up  Area,Ready To Move,Pattandur Agrahara,1247.0,2.0,1.0,59.8,2,4795.50922213312,0,2
Super built-up  Area,Ready To Move,Kaggalipura,950.0,2.0,1.0,48.0,2,5052.631578947368,0,2
Super built-up  Area,Ready To Move,Marathahalli,1215.0,2.0,2.0,58.86,2,4844.444444444444,0,2
Built-up  Area,Ready To Move,other,900.0,1.0,1.0,30.0,1,3333.3333333333335,0,2
Super built-up  Area,Ready To Move,Hennur Road,2350.0,3.0,2.0,174.0,3,7404.255319148936,1,0
Super built-up  Area,Ready To Move,other,1672.0,3.0,2.0,150.0,3,8971.291866028709,1,3
Super built-up  Area,18-May,Bommasandra,920.0,2.0,1.0,37.46,2,4071.7391304347825,0,2
Plot  Area,18-Feb,Sarjapur  Road,1200.0,3.0,2.0,70.0,3,5833.333333333333,0,0
Built-up  Area,Ready To Move,other,1250.0,3.0,2.0,139.0,3,11120.0,1,3
Super built-up  Area,18-Mar,Hosakerehalli,1817.0,4.0,2.0,153.0,3,8420.473307649972,1,0
Plot  Area,Ready To Move,Cooke Town,2043.0,6.0,2.0,375.0,5,18355.359765051395,1,1
Super built-up  Area,Ready To Move,HSR Layout,1140.0,2.0,2.0,46.0,2,4035.0877192982457,0,2
Built-up  Area,Ready To Move,Yelahanka,4346.0,4.0,1.0,450.0,4,10354.348826507134,1,3
Super built-up  Area,Ready To Move,Haralur Road,1464.0,2.0,2.0,56.0,2,3825.136612021858,0,2
Super built-up  Area,Ready To Move,other,1468.0,3.0,2.0,130.0,2,8855.58583106267,1,3
Super built-up  Area,Ready To Move,Electronics City Phase 1,1555.0,2.0,1.0,82.0,3,5273.311897106109,0,2
Super built-up  Area,19-Oct,Kadubeesanahalli,970.0,2.0,1.0,35.0,2,3608.2474226804125,0,2
Plot  Area,Ready To Move,Konanakunte,2779.0,3.0,1.0,317.0,3,11406.980928391507,1,3
Super built-up  Area,Ready To Move,Electronic City,1350.0,3.0,2.0,58.0,3,4296.2962962962965,0,2
Super built-up  Area,Ready To Move,Kodichikkanahalli,1495.0,2.0,2.0,75.0,3,5016.722408026756,0,2
Built-up  Area,Ready To Move,Indira Nagar,1224.0,2.0,2.0,105.0,2,8578.43137254902,1,0
Super built-up  Area,Ready To Move,Banashankari Stage III,1350.0,2.0,2.0,68.0,3,5037.037037037037,0,2
Built-up  Area,Ready To Move,Green Glen Layout,940.0,2.0,1.0,56.8,2,6042.553191489362,0,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1100.0,2.0,1.0,55.0,2,5000.0,0,2
Super built-up  Area,Ready To Move,Kaikondrahalli,1300.0,2.0,2.0,61.0,2,4692.307692307692,0,2
Built-up  Area,Ready To Move,other,1480.0,2.0,0.0,145.0,3,9797.297297297297,1,3
Super built-up  Area,Ready To Move,Hoodi,1105.0,2.0,2.0,46.37,2,4196.380090497738,0,2
Plot  Area,17-Jun,Sarjapur  Road,2600.0,3.0,2.0,200.0,3,7692.307692307692,1,0
Super built-up  Area,21-Mar,Yelahanka,1517.0,3.0,2.0,76.3,3,5029.663810151615,0,2
Built-up  Area,Ready To Move,Horamavu Banaswadi,3800.0,8.0,0.0,200.0,6,5263.1578947368425,1,0
Super built-up  Area,Ready To Move,Marathahalli,1365.0,2.0,2.0,73.0,2,5347.985347985348,0,2
Super built-up  Area,Ready To Move,CV Raman Nagar,1392.0,2.0,1.0,98.0,2,7040.229885057472,0,0
Super built-up  Area,Ready To Move,Hennur Road,1586.0,3.0,3.0,93.94,3,5923.076923076923,0,0
Built-up  Area,Ready To Move,Hennur,1100.0,2.0,1.0,60.0,2,5454.545454545455,0,2
Super built-up  Area,18-May,Electronic City Phase II,1065.0,2.0,1.0,30.75,2,2887.323943661972,0,2
Plot  Area,Ready To Move,TC Palaya,1500.0,2.0,1.0,120.0,3,8000.0,1,0
Built-up  Area,Ready To Move,7th Phase JP Nagar,1575.0,2.0,2.0,120.0,3,7619.047619047619,1,0
Super built-up  Area,Ready To Move,Hennur Road,1975.0,3.0,3.0,123.0,3,6227.848101265823,1,0
Super built-up  Area,Ready To Move,Gubbalala,1745.0,3.0,2.0,110.0,3,6303.7249283667625,1,0
Super built-up  Area,Ready To Move,Nagarbhavi,1223.0,2.0,1.0,60.0,2,4905.968928863451,0,2
Super built-up  Area,Ready To Move,Ananth Nagar,1200.0,2.0,1.0,65.0,3,5416.666666666667,0,2
Super built-up  Area,Ready To Move,Basaveshwara Nagar,1200.0,2.0,0.0,90.0,2,7500.0,0,0
Super built-up  Area,19-Dec,Binny Pete,665.0,1.0,1.0,46.08,1,6929.3233082706765,0,0
Super built-up  Area,Ready To Move,Bharathi Nagar,1351.0,2.0,2.0,70.0,2,5181.347150259067,0,2
Super built-up  Area,18-Dec,Hebbal,1355.0,3.0,1.0,83.87,3,6189.667896678967,0,0
Built-up  Area,Ready To Move,Sector 7 HSR Layout,3900.0,3.0,2.0,300.0,3,7692.307692307692,1,0
Carpet  Area,Ready To Move,Amruthahalli,900.0,2.0,1.0,60.0,2,6666.666666666667,0,0
Built-up  Area,18-Feb,Harlur,3385.0,4.0,2.0,260.0,4,7680.945347119646,1,0
Super built-up  Area,Ready To Move,other,2280.0,3.0,2.0,285.0,3,12500.0,1,3
Built-up  Area,Ready To Move,Hoodi,1247.0,2.0,0.0,53.0,2,4250.200481154771,0,2
Super built-up  Area,19-Dec,other,2000.0,3.0,2.0,200.0,3,10000.0,1,3
Super built-up  Area,18-Jul,Balagere,1020.07,2.0,1.0,68.38,2,6703.461527150097,0,0
Super built-up  Area,Ready To Move,Garudachar Palya,1150.0,2.0,2.0,52.8,2,4591.304347826087,0,2
Super built-up  Area,Ready To Move,Babusapalaya,1141.0,2.0,1.0,46.0,2,4031.5512708150745,0,2
Plot  Area,Ready To Move,Doddaballapur,4200.0,4.0,3.0,325.0,4,7738.0952380952385,1,0
Super built-up  Area,18-Jul,Hosa Road,1665.0,2.0,3.0,125.0,3,7507.507507507507,1,0
Super built-up  Area,18-Dec,Kanakapura,1295.0,2.0,2.0,64.0,2,4942.084942084942,0,2
Super built-up  Area,18-Aug,Haralur Road,1230.0,2.0,1.0,78.0,2,6341.463414634146,0,0
Super built-up  Area,Ready To Move,other,1080.0,2.0,2.0,75.0,3,6944.444444444444,0,0
Super built-up  Area,Ready To Move,Kaggalipura,1000.0,2.0,1.0,60.0,2,6000.0,0,0
Super built-up  Area,19-Dec,Whitefield,630.5,1.0,0.0,32.79,1,5200.634417129262,0,2
Super built-up  Area,18-May,Rayasandra,1708.0,3.0,2.0,75.0,3,4391.100702576113,0,2
Super built-up  Area,Ready To Move,Thanisandra,1697.0,3.0,2.0,115.0,3,6776.664702416028,1,0
Super built-up  Area,Ready To Move,Whitefield,3537.0,5.0,3.0,210.0,4,5937.234944868533,1,0
Super built-up  Area,19-Mar,Hosa Road,615.0,1.0,1.0,28.29,1,4600.0,0,2
Built-up  Area,Ready To Move,Banashankari,1350.0,2.0,0.0,83.0,3,6148.148148148148,0,0
Super built-up  Area,19-Dec,Jalahalli,1083.0,2.0,1.0,32.49,2,3000.0,0,2
Super built-up  Area,Ready To Move,Gottigere,1460.0,2.0,2.0,65.0,3,4452.054794520548,0,2
Super built-up  Area,Ready To Move,Babusapalaya,1084.0,2.0,1.0,58.0,2,5350.553505535056,0,2
Super built-up  Area,18-May,Bommasandra,1035.0,2.0,1.0,41.43,2,4002.8985507246375,0,2
Super built-up  Area,Ready To Move,other,2400.0,2.0,1.0,150.0,3,6250.0,1,0
Super built-up  Area,Ready To Move,Hosur Road,460.0,1.0,1.0,21.0,1,4565.217391304348,0,2
Plot  Area,Ready To Move,Sarjapur,1200.0,3.0,2.0,78.0,3,6500.0,0,0
Super built-up  Area,Ready To Move,Hegde Nagar,1801.0,3.0,2.0,140.0,3,7773.459189339256,1,0
Super built-up  Area,18-Dec,Whitefield,1697.0,3.0,2.0,115.0,3,6776.664702416028,1,0
Super built-up  Area,Ready To Move,AECS Layout,1199.0,2.0,2.0,65.0,2,5421.184320266889,0,2
Super built-up  Area,Ready To Move,Iblur Village,2300.0,3.0,1.0,220.0,3,9565.217391304348,1,3
Super built-up  Area,Ready To Move,other,1125.0,2.0,1.0,75.0,2,6666.666666666667,0,0
Plot  Area,Ready To Move,Anandapura,1200.0,2.0,1.0,67.0,2,5583.333333333333,0,2
Built-up  Area,Ready To Move,Subramanyapura,1050.0,2.0,3.0,41.0,2,3904.7619047619046,0,2
Built-up  Area,Ready To Move,Nagarbhavi,956.0,2.0,1.0,49.0,2,5125.523012552301,0,2
Super built-up  Area,Ready To Move,Sarjapur,1000.0,2.0,2.0,30.0,2,3000.0,0,2
Built-up  Area,Ready To Move,other,1596.0,3.0,0.0,95.0,3,5952.380952380952,0,0
Super built-up  Area,19-Jul,Kanakpura Road,1296.0,2.0,3.0,89.06,2,6871.913580246914,0,0
Built-up  Area,Ready To Move,other,1639.0,3.0,3.0,123.0,3,7504.5759609518,1,0
Super built-up  Area,Ready To Move,Electronic City Phase II,1219.0,2.0,1.0,61.25,2,5024.610336341263,0,2
Super built-up  Area,Ready To Move,Bannerghatta Road,1218.0,2.0,1.0,73.0,2,5993.431855500821,0,0
Super built-up  Area,22-Dec,2nd Phase Judicial Layout,525.0,1.0,1.0,26.0,1,4952.380952380952,0,2
Built-up  Area,Ready To Move,Ramagondanahalli,920.0,2.0,3.0,65.0,2,7065.217391304348,0,0
Built-up  Area,Ready To Move,Dommasandra,2700.0,3.0,2.0,68.0,4,2518.5185185185187,0,2
Super built-up  Area,Ready To Move,other,1740.0,3.0,2.0,199.0,3,11436.781609195403,1,3
Super built-up  Area,Ready To Move,Lingadheeranahalli,1530.0,2.0,2.0,90.0,3,5882.35294117647,0,0
Carpet  Area,Ready To Move,other,1372.0,2.0,1.0,90.0,3,6559.766763848396,0,0
Super built-up  Area,20-Jun,Jakkur,1950.0,3.0,2.0,131.0,3,6717.948717948718,1,0
Plot  Area,Ready To Move,Vijayanagar,1380.0,2.0,0.0,225.0,2,16304.347826086956,1,1
Built-up  Area,Ready To Move,Uttarahalli,1085.0,2.0,2.0,43.0,2,3963.1336405529955,0,2
Carpet  Area,18-Dec,Bhoganhalli,1451.5,4.0,1.0,121.0,4,8336.203926972097,1,0
Super built-up  Area,Ready To Move,other,6200.0,5.0,2.0,720.0,5,11612.90322580645,1,3
Super built-up  Area,Ready To Move,Bellandur,1286.0,2.0,2.0,57.0,2,4432.348367029549,0,2
Built-up  Area,Ready To Move,other,925.0,2.0,2.0,63.0,2,6810.810810810811,0,0
Super built-up  Area,Ready To Move,Bellandur,3016.0,4.0,3.0,230.0,4,7625.994694960213,1,0
Built-up  Area,Ready To Move,Haralur Road,1000.0,2.0,2.0,44.0,2,4400.0,0,2
Plot  Area,Ready To Move,other,1200.0,3.0,1.0,95.0,4,7916.666666666667,0,0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,1336.0,2.0,2.0,100.0,2,7485.029940119761,1,0
Super built-up  Area,Ready To Move,Yeshwanthpur,673.0,1.0,1.0,36.85,1,5475.482912332838,0,2
Plot  Area,Ready To Move,Anandapura,1200.0,2.0,1.0,58.0,2,4833.333333333333,0,2
Super built-up  Area,Ready To Move,Malleshwaram,1600.0,3.0,3.0,160.0,3,10000.0,1,3
Plot  Area,Ready To Move,other,1200.0,2.0,0.0,79.0,2,6583.333333333333,0,0
Super built-up  Area,18-Apr,other,2500.0,3.0,2.0,270.0,3,10800.0,1,3
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,1143.0,2.0,2.0,65.0,2,5686.789151356081,0,0
Plot  Area,Ready To Move,other,1584.0,3.0,2.0,145.0,4,9154.040404040405,1,3
Super built-up  Area,Ready To Move,Koramangala,2292.0,3.0,2.0,286.0,3,12478.184991273996,1,3
Super built-up  Area,Ready To Move,Kothanur,1460.0,3.0,3.0,71.0,3,4863.013698630137,0,2
Built-up  Area,Ready To Move,Sanjay nagar,3300.0,3.0,2.0,250.0,5,7575.757575757576,1,0
Super built-up  Area,Ready To Move,Chikkalasandra,1230.0,2.0,2.0,48.0,2,3902.439024390244,0,2
Super built-up  Area,Ready To Move,Yelahanka New Town,650.0,1.0,1.0,20.0,1,3076.923076923077,0,2
Super built-up  Area,Ready To Move,Benson Town,1480.0,2.0,2.0,120.0,2,8108.108108108108,1,0
Super built-up  Area,Ready To Move,other,1570.0,3.0,1.0,115.0,3,7324.84076433121,1,0
Built-up  Area,Ready To Move,other,3000.0,3.0,3.0,400.0,3,13333.333333333334,1,3
Plot  Area,Ready To Move,Sarjapur  Road,4000.0,5.0,2.0,600.0,4,15000.0,1,1
Plot  Area,Ready To Move,Ramamurthy Nagar,1100.0,2.0,0.0,68.0,2,6181.818181818182,0,0
Super built-up  Area,Ready To Move,Kathriguppe,1350.0,2.0,1.0,87.01,3,6445.185185185185,0,0
Built-up  Area,Ready To Move,Kasavanhalli,1719.0,3.0,2.0,116.0,3,6748.109365910413,1,0
Super built-up  Area,Ready To Move,Budigere,664.0,1.0,1.0,35.0,1,5271.084337349397,0,2
Super built-up  Area,18-Dec,Sonnenahalli,1011.0,2.0,1.0,50.53,2,4998.021760633037,0,2
Super built-up  Area,Ready To Move,Yeshwanthpur,717.0,2.0,0.0,49.475,2,6900.278940027894,0,0
Super built-up  Area,Ready To Move,Whitefield,1520.0,2.0,2.0,150.0,3,9868.421052631578,1,3
Super built-up  Area,15-Nov,Kothanur,1760.0,3.0,2.0,150.0,3,8522.727272727272,1,0
Super built-up  Area,Ready To Move,Pattandur Agrahara,875.0,2.0,1.0,33.0,2,3771.4285714285716,0,2
Super built-up  Area,Ready To Move,Hennur,1231.0,2.0,2.0,48.0,2,3899.268887083672,0,2
Super built-up  Area,Ready To Move,Somasundara Palya,1174.0,2.0,3.0,74.0,2,6303.236797274276,0,0
Built-up  Area,Ready To Move,Munnekollal,1560.0,3.0,3.0,75.0,3,4807.692307692308,0,2
Plot  Area,Ready To Move,Kanakpura Road,2200.0,3.0,2.0,130.0,3,5909.090909090909,1,0
Built-up  Area,Ready To Move,other,850.0,2.0,2.0,55.0,2,6470.588235294118,0,0
Built-up  Area,Ready To Move,other,1750.0,3.0,1.0,180.0,3,10285.714285714286,1,3
Plot  Area,Ready To Move,other,1500.0,1.0,0.0,160.0,2,10666.666666666666,1,3
Plot  Area,Ready To Move,other,2100.0,6.0,2.0,275.0,6,13095.238095238095,1,3
Super built-up  Area,Ready To Move,Kodihalli,2408.0,4.0,2.0,260.0,3,10797.34219269103,1,3
Super built-up  Area,Ready To Move,Indira Nagar,2070.0,3.0,2.0,225.0,3,10869.565217391304,1,3
Plot  Area,Ready To Move,other,1575.0,5.0,1.0,158.0,4,10031.746031746032,1,3
Plot  Area,Ready To Move,Kodichikkanahalli,3250.0,4.0,1.0,180.0,4,5538.461538461538,1,0
Super built-up  Area,Ready To Move,Uttarahalli,1175.0,2.0,1.0,47.0,2,4000.0,0,2
Super built-up  Area,Ready To Move,Channasandra,1030.0,2.0,1.0,34.5,2,3349.5145631067962,0,2
Super built-up  Area,18-Jul,Hebbal,1440.0,2.0,1.0,115.0,2,7986.111111111111,1,0
Built-up  Area,Ready To Move,Hoodi,1500.0,2.0,1.0,84.0,2,5600.0,0,0
Plot  Area,Ready To Move,Thanisandra,1380.0,1.0,1.0,62.1,1,4500.0,0,2
Built-up  Area,Ready To Move,other,705.0,1.0,2.0,36.5,1,5177.304964539007,0,2
Super built-up  Area,Ready To Move,Harlur,2240.0,5.0,2.0,155.0,3,6919.642857142857,1,0
Super built-up  Area,Ready To Move,Hegde Nagar,1584.01,3.0,1.0,103.0,3,6502.484201488627,1,0
Super built-up  Area,Ready To Move,other,1340.0,3.0,3.0,77.0,3,5746.268656716418,0,0
Super built-up  Area,Ready To Move,R.T. Nagar,1200.0,2.0,3.0,45.0,2,3750.0,0,2
Super built-up  Area,18-Nov,Sarjapur  Road,685.0,1.0,1.0,40.0,1,5839.41605839416,0,0
Super built-up  Area,Ready To Move,Kodichikkanahalli,1125.0,2.0,1.0,52.0,2,4622.222222222223,0,2
Super built-up  Area,Ready To Move,Hebbal,1100.0,2.0,1.0,54.0,2,4909.090909090909,0,2
Plot  Area,18-Aug,Jigani,2400.0,3.0,2.0,149.0,3,6208.333333333333,1,0
Plot  Area,Ready To Move,other,1260.0,1.0,1.0,41.0,1,3253.968253968254,0,2
Built-up  Area,Ready To Move,Ambedkar Nagar,3530.0,4.0,2.0,290.0,4,8215.297450424929,1,0
Super built-up  Area,Ready To Move,HSR Layout,1185.0,2.0,2.0,60.0,2,5063.291139240507,0,2
Plot  Area,Ready To Move,other,1200.0,2.0,1.0,216.0,2,18000.0,1,1
Super built-up  Area,Ready To Move,Hennur,1255.0,2.0,1.0,58.0,2,4621.5139442231075,0,2
Super built-up  Area,Ready To Move,Rajaji Nagar,3436.0,6.0,3.0,475.0,4,13824.214202561117,1,1
Built-up  Area,Ready To Move,Kudlu Gate,1335.0,3.0,2.0,89.0,3,6666.666666666667,0,0
Super built-up  Area,Ready To Move,Dodda Nekkundi,1999.0,3.0,2.0,132.0,3,6603.301650825412,1,0
Plot  Area,Ready To Move,other,1200.0,2.0,1.0,125.0,2,10416.666666666666,1,3
Super built-up  Area,Ready To Move,Kundalahalli,1397.0,3.0,2.0,110.0,3,7874.0157480314965,1,0
Super built-up  Area,Ready To Move,Cooke Town,3950.0,4.0,2.0,450.0,4,11392.405063291139,1,3
Plot  Area,Ready To Move,Yelahanka New Town,1200.0,2.0,1.0,130.0,2,10833.333333333334,1,3
Plot  Area,Ready To Move,Chikka Tirupathi,1616.0,3.0,0.0,95.0,3,5878.712871287129,0,0
Built-up  Area,Ready To Move,other,1270.0,2.0,1.0,175.0,4,13779.527559055117,1,1
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1140.0,2.0,2.0,38.55,2,3381.578947368421,0,2
Super built-up  Area,21-Jan,Kanakpura Road,525.0,1.0,1.0,30.0,1,5714.285714285715,0,2
Plot  Area,Ready To Move,Varthur,1200.0,2.0,1.0,98.0,3,8166.666666666667,0,0
Super built-up  Area,18-Jul,Balagere,1205.47,2.0,1.0,81.0,2,6719.370867794304,0,0
Plot  Area,Ready To Move,other,1200.0,3.0,2.0,130.0,3,10833.333333333334,1,3
Super built-up  Area,Ready To Move,Electronic City,1700.0,3.0,2.0,75.0,3,4411.764705882353,0,2
Super built-up  Area,19-Mar,Thanisandra,923.0,1.0,1.0,60.84,1,6591.549295774648,0,0
Super built-up  Area,18-May,other,3595.0,6.0,2.0,360.0,4,10013.908205841446,1,3
Super built-up  Area,Ready To Move,Green Glen Layout,1050.0,2.0,2.0,48.0,2,4571.428571428572,0,2
Super built-up  Area,19-Mar,Hennur Road,1664.0,2.0,2.0,93.865,3,5640.9254807692305,0,0
Built-up  Area,Ready To Move,Indira Nagar,500.0,1.0,0.0,70.0,1,14000.0,0,1
Super built-up  Area,Ready To Move,Thanisandra,1743.0,3.0,2.0,93.25,3,5349.971313826735,0,2
Super built-up  Area,Ready To Move,other,2500.0,3.0,2.0,425.0,3,17000.0,1,1
Super built-up  Area,Ready To Move,Mysore Road,1512.0,2.0,2.0,110.0,3,7275.132275132275,1,0
Super built-up  Area,Ready To Move,other,3100.0,5.0,1.0,385.0,4,12419.354838709678,1,3
Plot  Area,Ready To Move,other,1200.0,4.0,1.0,150.0,4,12500.0,1,3
Plot  Area,Ready To Move,Sarjapura - Attibele Road,2400.0,3.0,3.0,85.0,3,3541.6666666666665,0,2
Super built-up  Area,Ready To Move,Hormavu,1141.0,2.0,1.0,44.4,2,3891.3234005258546,0,2
Super built-up  Area,Ready To Move,Anandapura,1151.0,2.0,1.0,43.1,2,3744.5699391833186,0,2
Plot  Area,Ready To Move,other,3259.0,3.0,0.0,270.0,3,8284.749923289353,1,0
Super built-up  Area,22-Dec,Bannerghatta Road,1115.0,2.0,1.0,65.12,2,5840.358744394619,0,0
Super built-up  Area,Ready To Move,Kaggadasapura,1200.0,2.0,2.0,53.0,2,4416.666666666667,0,2
Super built-up  Area,Ready To Move,Singasandra,1300.0,2.0,2.0,65.0,2,5000.0,0,2
Super built-up  Area,Ready To Move,Bellandur,1457.0,2.0,2.0,85.0,2,5833.905284831846,0,0
Super built-up  Area,Ready To Move,Kannamangala,1262.0,2.0,2.0,55.0,2,4358.161648177496,0,2
Super built-up  Area,18-Aug,Ananth Nagar,900.0,2.0,2.0,22.5,2,2500.0,0,2
Built-up  Area,Ready To Move,Attibele,420.0,1.0,1.0,17.0,1,4047.6190476190477,0,2
Super built-up  Area,Ready To Move,Kanakapura,1160.0,2.0,1.0,46.39,2,3999.137931034483,0,2
Super built-up  Area,Ready To Move,Kasavanhalli,1115.0,2.0,2.0,50.0,2,4484.304932735426,0,2
Built-up  Area,Ready To Move,JP Nagar,1315.0,2.0,1.0,85.4,3,6494.296577946768,0,0
Built-up  Area,Ready To Move,Babusapalaya,1500.0,2.0,2.0,57.0,2,3800.0,0,2
Super built-up  Area,Ready To Move,HSR Layout,1127.0,2.0,1.0,68.0,2,6033.717834960071,0,0
Super built-up  Area,18-Feb,Kundalahalli,1397.0,3.0,2.0,104.0,3,7444.523979957051,1,0
Super built-up  Area,Ready To Move,Sompura,1090.0,2.0,2.0,28.0,2,2568.8073394495414,0,2
Super built-up  Area,Ready To Move,Sarjapur  Road,2720.0,5.0,2.0,210.0,3,7720.588235294118,1,0
Super built-up  Area,18-May,Jakkur,1230.0,2.0,1.0,76.0,2,6178.861788617886,0,0
Super built-up  Area,21-Mar,Talaghattapura,1868.0,3.0,1.0,121.0,3,6477.516059957174,1,0
Super built-up  Area,Ready To Move,Uttarahalli,1689.28,3.0,2.0,91.2,3,5398.74976321273,0,2
Plot  Area,Ready To Move,other,1350.0,2.0,1.0,100.0,2,7407.407407407408,1,0
Built-up  Area,Ready To Move,Channasandra,4200.0,6.0,0.0,180.0,6,4285.714285714285,1,2
Super built-up  Area,Ready To Move,Uttarahalli,1310.0,2.0,1.0,85.0,3,6488.5496183206105,0,0
Super built-up  Area,18-May,Kundalahalli,1397.0,3.0,3.0,108.0,3,7730.851825340014,1,0
Super built-up  Area,18-Jul,Sarjapur,1157.0,2.0,1.0,40.0,2,3457.216940363008,0,2
Super built-up  Area,Ready To Move,Kasavanhalli,1125.0,2.0,1.0,61.2,2,5440.0,0,2
Super built-up  Area,Ready To Move,Sonnenahalli,1157.0,2.0,1.0,42.0,2,3630.077787381158,0,2
Super built-up  Area,Ready To Move,Sarjapur  Road,1241.0,2.0,1.0,82.0,2,6607.57453666398,0,0
Super built-up  Area,19-Dec,Binny Pete,660.0,1.0,1.0,62.0,1,9393.939393939394,0,3
Super built-up  Area,Ready To Move,Rajiv Nagar,2340.0,4.0,1.0,148.0,4,6324.786324786325,1,0
Built-up  Area,Ready To Move,other,596.0,1.0,1.0,42.0,1,7046.979865771812,0,0
Plot  Area,Ready To Move,other,1200.0,4.0,3.0,110.0,4,9166.666666666666,1,3
Super built-up  Area,Ready To Move,other,1910.0,3.0,1.0,190.0,3,9947.643979057591,1,3
Super built-up  Area,Ready To Move,Brookefield,1139.0,2.0,2.0,80.0,2,7023.705004389815,0,0
Super built-up  Area,19-Aug,Sarjapura - Attibele Road,1033.0,2.0,2.0,28.41,2,2750.242013552759,0,2
Super built-up  Area,Ready To Move,Chandapura,877.0,2.0,3.0,42.0,2,4789.053591790193,0,2
Built-up  Area,18-Jul,Electronics City Phase 1,1340.0,2.0,2.0,75.0,2,5597.014925373134,0,0
Built-up  Area,Ready To Move,other,1750.0,3.0,3.0,149.0,3,8514.285714285714,1,0
Super built-up  Area,19-Jun,other,985.0,2.0,1.0,63.0,2,6395.9390862944165,0,0
Super built-up  Area,16-Jul,other,1300.0,2.0,1.0,129.0,2,9923.076923076924,1,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1850.0,3.0,2.0,150.0,3,8108.108108108108,1,0
Super built-up  Area,Ready To Move,other,1490.0,2.0,3.0,88.0,3,5906.040268456376,0,0
Super built-up  Area,19-Aug,Hormavu,1130.0,2.0,1.0,42.3,2,3743.362831858407,0,2
Super built-up  Area,Ready To Move,Yelachenahalli,1080.0,2.0,2.0,55.0,2,5092.592592592592,0,2
Super built-up  Area,Ready To Move,Hennur Road,1290.0,2.0,1.0,94.5,3,7325.581395348837,0,0
Super built-up  Area,19-Mar,Hosa Road,1318.0,2.0,1.0,85.28,3,6470.40971168437,0,0
Super built-up  Area,Ready To Move,Electronic City,1128.0,2.0,1.0,68.0,2,6028.368794326241,0,0
Super built-up  Area,21-Mar,Kanakpura Road,1051.0,2.0,2.0,56.74,2,5398.667935299714,0,2
Plot  Area,Ready To Move,Kengeri,3500.0,5.0,0.0,275.0,3,7857.142857142857,1,0
Super built-up  Area,Ready To Move,Yelahanka,1327.0,2.0,3.0,85.0,2,6405.42577241899,0,0
Super built-up  Area,Ready To Move,other,650.0,1.0,0.0,30.0,1,4615.384615384615,0,2
Plot  Area,18-Jul,Varthur,1200.0,3.0,1.0,67.75,3,5645.833333333333,0,0
Super built-up  Area,Ready To Move,other,1500.0,2.0,2.0,89.99,3,5999.333333333333,0,0
Plot  Area,Ready To Move,other,1350.0,4.0,2.0,145.0,4,10740.74074074074,1,3
Built-up  Area,18-Aug,Electronic City Phase II,1000.0,2.0,1.0,28.88,2,2888.0,0,2
Super built-up  Area,22-May,Jakkur,1819.18,3.0,1.0,160.0,3,8795.17145087347,1,3
Built-up  Area,Ready To Move,Nagarbhavi,900.0,1.0,0.0,175.0,1,19444.444444444445,1,1
Super built-up  Area,18-Apr,Hebbal,1355.0,3.0,1.0,83.87,3,6189.667896678967,0,0
Super built-up  Area,Ready To Move,Sarakki Nagar,2145.0,4.0,1.0,270.0,3,12587.412587412588,1,3
Super built-up  Area,Ready To Move,Malleshwaram,2475.0,4.0,3.0,300.0,3,12121.212121212122,1,3
Super built-up  Area,18-Aug,Kaggadasapura,1118.0,2.0,0.0,30.0,2,2683.3631484794278,0,2
Super built-up  Area,Ready To Move,other,910.0,1.0,1.0,42.0,1,4615.384615384615,0,2
Super built-up  Area,18-Mar,Hosakerehalli,1304.0,2.0,3.0,100.0,2,7668.711656441717,1,0
Super built-up  Area,Ready To Move,CV Raman Nagar,1070.0,2.0,2.0,47.5,2,4439.252336448598,0,2
Super built-up  Area,17-Nov,Hebbal,3500.0,3.0,3.0,395.0,3,11285.714285714286,1,3
Super built-up  Area,22-Jun,Hoodi,1132.0,2.0,1.0,89.37,2,7894.876325088339,0,0
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,794.0,1.0,2.0,65.0,1,8186.39798488665,0,0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1090.0,2.0,2.0,43.59,2,3999.0825688073396,0,2
Super built-up  Area,Ready To Move,Gottigere,1500.0,3.0,2.0,70.0,3,4666.666666666667,0,2
